id,created_at,text,fav,RT
1581571106158567427,2022-10-16 09:01:50+00:00,管楽器やってんのにツェー管なるものを初めて知ったすごい,2,0
1581562393221804032,2022-10-16 08:27:13+00:00,コンパスオブユアハート熱唱したい,2,0
1581351389913284608,2022-10-15 18:28:46+00:00,やばい,4,0
1580906407108673544,2022-10-14 13:00:33+00:00,寝てたらこんな時間,4,0
1580805931260317696,2022-10-14 06:21:18+00:00,RT @oiaoua_k: ｢お前戦力低くないか？｣\うるさい/｢本当だからだ！！｣今なら200連ガチャ無料！今すぐダウンロードしよう！ https://t.co/FdNLa72XyG,0,6283
1580793024271220741,2022-10-14 05:30:01+00:00,しゅみ鍋部したい,6,0
1580791800058773504,2022-10-14 05:25:09+00:00,クラゲウルフかわいすぎる,2,0
1580551956019675138,2022-10-13 13:32:06+00:00,疲れすぎてぶっ倒れた　復活,2,0
1580524950548807680,2022-10-13 11:44:47+00:00,酒飲んで寝てえ,6,0
1580506665174323200,2022-10-13 10:32:08+00:00,RT @2v9uaBOI8nPeyoz: イラスト画像から逆向きに画像生成AIのプロンプト用にDanbooruタグを見つける「Deep Danbooru」を「AUTOMATIC1111版Stable Diffusion web UI」で使う方法まとめ#Gyaaaan http…,0,1
1580200834456907776,2022-10-12 14:16:52+00:00,おとなしく黒染めしようかなもう,7,0
1580200278565203970,2022-10-12 14:14:39+00:00,緑のカラー剤ないってマジですか？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？なんで？？？？？？？？？？？？？？？？？？？？？？？？,5,0
1580165250577739776,2022-10-12 11:55:28+00:00,ホヤあそばせ,2,0
1580125464190152706,2022-10-12 09:17:22+00:00,しゅみのなべ誰かいこう😭😭😭,8,0
1580122519134081024,2022-10-12 09:05:40+00:00,酒味の鍋行きたすぎる,4,0
1580099685762859009,2022-10-12 07:34:56+00:00,やっと神キレる,5,0
1580081576515317760,2022-10-12 06:22:58+00:00,爆盛ヒーラーDUOしたい,2,0
1580070776320847872,2022-10-12 05:40:04+00:00,家帰ったらOW・・・,4,0
1579891138898845698,2022-10-11 17:46:15+00:00,チゲ・・・チゲがしたい・・・,4,0
1579889159841665024,2022-10-11 17:38:23+00:00,Totallyゴミ,2,0
